EXPNUM,MU,PSP,INV,USFSspID,Month,Year,EXPF,TREENUM,DCLASS,DBH,KCODE
1,90,31,20,7,6,2000,5,23100,6,6.2,200
1,90,31,20,7,6,2000,5,23200,7,7,200
1,90,31,20,4,6,2000,5,24600,10,10.3,200
1,90,31,20,1,6,2000,50,30400,2,2.1,100
1,90,31,20,1,6,2000,20,30500,3,2.7,100
1,90,31,20,1,6,2000,50,30700,1,1,100
1,90,31,20,1,6,2000,50,30800,1,0.7,100
1,90,31,20,1,6,2000,50,30900,1,0.7,100
1,90,31,20,4,6,2000,50,31000,1,1.1,100
1,90,31,20,1,6,2000,50,31100,1,0.7,100
1,90,31,20,1,6,2000,50,31200,2,1.6,100
1,90,31,20,1,6,2000,50,31300,1,0.7,100
1,90,31,20,4,6,2000,50,31401,1,0.5,100
1,90,31,20,1,6,2000,50,31500,1,1.3,100
1,90,31,20,1,6,2000,50,31600,1,0.6,100
1,90,31,20,1,6,2000,50,31700,1,1.2,100
1,90,31,20,1,6,2000,50,31800,1,1,100
1,90,31,20,1,6,2000,50,31900,2,1.5,100
1,90,31,20,4,6,2000,5,33600,8,8.2,200
1,90,31,20,4,6,2000,5,34500,9,8.7,200
1,90,31,20,4,6,2000,5,35100,8,8.3,200
1,90,31,20,1,6,2000,20,40700,3,2.6,100
1,90,31,20,1,6,2000,50,40800,1,1.1,100
1,90,31,20,1,6,2000,50,40900,1,1.4,100
1,90,31,20,1,6,2000,50,41000,2,1.5,100
1,90,31,20,1,6,2000,50,41100,1,1.2,100
1,90,31,20,1,6,2000,50,41200,2,2.2,100
1,90,31,20,1,6,2000,50,41300,1,1.3,100
1,90,31,20,1,6,2000,20,41400,3,3.1,100
1,90,31,20,1,6,2000,50,41500,1,0.9,100
1,90,31,20,1,6,2000,50,41601,1,0.6,100
1,90,31,20,1,6,2000,50,41700,1,1.2,100
1,90,31,20,1,6,2000,50,41800,1,1.1,100
1,90,31,20,1,6,2000,50,41900,1,1.1,100
1,90,31,20,1,6,2000,50,42000,2,2,100
1,90,31,20,1,6,2000,50,42101,1,0.9,100
1,90,31,20,10,6,2000,20,42200,4,4.2,100
1,90,31,20,1,6,2000,50,42301,1,0.7,100
1,90,31,20,1,6,2000,50,42400,2,2,100
1,90,31,20,1,6,2000,50,42500,1,1.2,100
1,90,31,20,1,6,2000,50,42600,1,1.2,100
1,90,31,20,1,6,2000,50,42701,1,0.7,100
1,90,31,20,1,6,2000,50,50800,2,2.2,100
1,90,31,20,1,6,2000,50,50900,2,2.2,100
1,90,31,20,1,6,2000,50,51000,1,0.9,100
1,90,31,20,1,6,2000,50,51100,1,0.8,100
1,90,31,20,4,6,2000,50,51200,1,1.4,100
1,90,31,20,1,6,2000,50,51300,2,1.8,100
1,90,31,20,4,6,2000,50,51400,2,2,100
1,90,31,20,15,6,2000,5,52400,5,4.6,300
1,90,31,20,1,6,2000,5,52900,8,7.5,200
1,90,31,20,15,6,2000,5,54100,6,5.8,200
1,90,31,20,1,6,2000,20,60600,4,3.7,100
1,90,31,20,1,6,2000,20,60700,3,3,100
1,90,31,20,1,6,2000,50,60800,2,1.7,100
1,90,31,20,1,6,2000,50,61300,1,1.3,100
1,90,31,20,1,6,2000,20,62200,3,3.4,100
1,90,31,20,16,6,2000,5,62300,5,5.1,200
1,90,31,20,1,6,2000,20,62400,3,2.9,100
1,90,31,20,6,6,2000,20,62500,3,3.4,100
1,90,31,20,1,6,2000,20,62600,3,3.1,100
1,90,31,20,1,6,2000,20,62700,3,2.5,100
1,90,31,20,1,6,2000,5,63800,5,4.8,200
1,90,31,20,4,6,2000,5,64000,12,11.7,200
1,90,31,20,15,6,2000,5,64300,5,4.8,200
1,90,31,20,1,6,2000,5,64600,6,6.1,200
1,90,31,20,4,6,2000,20,70200,4,3.7,100
1,90,31,20,4,6,2000,50,71000,1,1.2,100
1,90,31,20,4,6,2000,20,71200,4,4.4,100
1,90,31,20,4,6,2000,20,71300,4,3.5,100
1,90,31,20,15,6,2000,20,72600,4,4.3,100
1,90,31,20,1,6,2000,5,73400,5,5.4,200
1,90,31,20,4,6,2000,5,74200,13,12.5,200
1,90,31,20,1,6,2000,50,81401,1,0.9,100
1,90,31,20,4,6,2000,5,83200,6,5.8,200
1,90,31,20,15,6,2000,5,83300,5,5.3,200
1,90,31,20,15,6,2000,5,83400,5,5,200
1,90,31,20,15,6,2000,5,83500,6,5.9,200
1,90,31,20,7,6,2000,5,84700,5,5,300
1,90,31,20,6,6,2000,5,85000,9,9.3,200
1,90,31,20,7,6,2000,5,85100,8,7.9,200
1,90,31,20,1,6,2000,5,85300,5,5.2,200
1,90,51,20,4,6,2000,5,1600,8,8.4,200
1,90,51,20,6,6,2000,5,3000,8,7.7,200
1,90,51,20,6,6,2000,5,3600,10,9.6,200
1,90,51,20,6,6,2000,5,4300,13,12.7,200
1,90,51,20,6,6,2000,5,4600,13,13.3,200
1,90,51,20,4,6,2000,5,12700,11,11.3,200
1,90,51,20,6,6,2000,5,12800,6,5.5,200
1,90,51,20,16,6,2000,5,13400,7,7.3,200
1,90,51,20,6,6,2000,5,13900,9,8.6,200
1,90,51,20,6,6,2000,5,14800,9,9.4,200
1,90,51,20,6,6,2000,5,22100,6,5.7,200
1,90,51,20,6,6,2000,5,23200,17,16.8,200
1,90,51,20,6,6,2000,5,23700,16,16.1,200
1,90,51,20,4,6,2000,5,24600,13,13,200
1,90,51,20,1,6,2000,50,31400,1,0.8,100
1,90,51,20,4,6,2000,50,31500,1,0.6,100
1,90,51,20,1,6,2000,5,32100,5,4.9,200
1,90,51,20,6,6,2000,5,32200,11,11.2,200
1,90,51,20,6,6,2000,5,32300,5,5.2,200
1,90,51,20,6,6,2000,20,32500,3,2.6,100
1,90,51,20,4,6,2000,5,33400,8,8.2,200
1,90,51,20,6,6,2000,5,34400,5,5.4,200
1,90,51,20,6,6,2000,5,44400,17,16.8,200
1,90,51,20,4,6,2000,5,44500,8,8,200
1,90,51,20,4,6,2000,5,53300,14,13.8,200
1,90,51,20,6,6,2000,5,54200,16,16.1,200
1,90,51,20,6,6,2000,5,54300,12,12.2,200
1,90,51,20,6,6,2000,5,63000,11,10.6,200
1,90,51,20,6,6,2000,5,63100,6,6.1,200
1,90,51,20,4,6,2000,5,63900,10,9.8,200
1,90,51,20,6,6,2000,5,65100,11,11.4,200
1,90,51,20,6,6,2000,5,65200,11,10.5,200
1,90,51,20,6,6,2000,5,72900,16,16.2,200
1,90,51,20,6,6,2000,5,74200,12,12.4,200
1,90,51,20,15,6,2000,50,81100,1,0.6,100
1,90,51,20,15,6,2000,50,81200,1,1,100
1,90,51,20,15,6,2000,50,81300,1,0.6,100
1,90,51,20,4,6,2000,5,82700,10,10.2,200
1,90,51,20,4,6,2000,5,83300,10,9.6,200
1,90,51,20,6,6,2000,5,84000,12,11.7,200
1,90,51,20,6,6,2000,5,84100,12,11.5,200
1,90,51,20,15,6,2000,5,84200,6,5.7,300
1,90,51,20,15,6,2000,5,84700,8,8,200
1,90,51,20,15,6,2000,50,90900,1,0.8,100
1,90,51,20,6,6,2000,5,93100,5,5,200
1,90,51,20,6,6,2000,5,93800,15,14.9,200
1,90,51,20,6,6,2000,5,93900,5,4.9,200
1,90,51,20,6,6,2000,5,94000,6,5.6,200
1,90,51,20,6,6,2000,5,94900,12,12.4,200
1,90,52,20,6,6,2000,5,3800,16,16.1,200
1,90,52,20,6,6,2000,5,13600,5,5.2,200
1,90,52,20,6,6,2000,5,13700,7,7,200
1,90,52,20,4,6,2000,5,14500,15,15,200
1,90,52,20,4,6,2000,5,21800,13,12.9,200
1,90,52,20,4,6,2000,5,22600,12,11.8,200
1,90,52,20,6,6,2000,5,22700,7,6.8,200
1,90,52,20,6,6,2000,5,24100,13,12.5,200
1,90,52,20,6,6,2000,5,24200,14,14,200
1,90,52,20,4,6,2000,5,32500,13,13.1,200
1,90,52,20,4,6,2000,5,33300,10,10.2,200
1,90,52,20,6,6,2000,5,40400,13,12.9,200
1,90,52,20,1,6,2000,50,41400,1,0.7,100
1,90,52,20,6,6,2000,5,43000,9,8.8,200
1,90,52,20,6,6,2000,5,52800,5,5.4,200
1,90,52,20,4,6,2000,5,52900,13,13.3,200
